Reference, Value, Footprint, Datasheet
"R6","5k1","1206",""
"R5","1k","1206",""
"C33","470uF/25V","",""
"U1","LM2576S","TO263-5",""
"U2","7805MS","SO8",""
"C6","100nF","1206",""
"L1","680uH","",""
"C2","100uF","",""
"C3","470uF/25V","",""
"D1","SS14","SMA",""
"R4","5k1","1206",""
"C9","1nF","1206",""
"P2","USB","",""
"C11","27pF","1206",""
"C10","27pF","1206",""
"X1","11.0592 MHz","",""
"P3","SPI","",""
"IC1","ATMEGA88PA-A","TQFP32",""
"C7","1nF","1206",""
"P1","POWER","",""
"F1","077","1210",""
"D2","SS14","SMA",""
"C1","100nF","1206",""
"C4","100nF","1206",""
"Q1","IRF7343PBF","SO8",""
"Q2","IRF7343PBF","SO8",""
"Q3","IRF7343PBF","SO8",""
"R2","5k1","1206",""
"R1","5k1","1206",""
"R3","5k1","1206",""
"R7","5k1","1206",""
"R8","5k1","1206",""
"R9","5k1","1206",""
"K2","CONN_3","",""
"K1","CONN_3","",""
"R10","0","1206",""
"R11","0","1206",""
"R12","0","1206",""
"D3","BZV55C4V3","SOD80C",""
